subset,grud_weight,xgb_weight,val_roc,val_pr,test_roc,test_pr
respiratory_acidbase,0.3,0.7,0.7830609469365175,0.37712309186948545,0.7816114343583822,0.3595930312980615
respiratory_acidbase,0.35,0.65,0.7827909205266175,0.37703864740467297,0.7809630713348805,0.35897599940413144
respiratory_acidbase,0.4,0.6,0.7822368724355724,0.3766263062829532,0.7800811481444112,0.3592644641887007
respiratory_acidbase,0.25,0.75,0.7829292267365662,0.37637953228683674,0.7818188357866492,0.35926067354436897
respiratory_acidbase,0.2,0.8,0.7824764385492338,0.37596120459584065,0.7816151713210537,0.3580540294355042
respiratory_acidbase,0.45,0.55,0.7810637394047565,0.3754408876682931,0.7786013109265052,0.35797650375087725
respiratory_acidbase,0.15,0.85,0.7817602099619987,0.3752231175391775,0.7811274976924256,0.35580191930186766
respiratory_acidbase,0.1,0.9,0.7806908065886444,0.3743085083636693,0.7802978919793571,0.35407203858116004
respiratory_acidbase,0.5,0.5,0.7794419344428565,0.37423285582062366,0.7768243851762165,0.35686831938012403
respiratory_acidbase,0.55,0.45,0.7772175095661795,0.37261244943035055,0.774443005713816,0.35539510350745207
respiratory_acidbase,0.05,0.95,0.7794386414378577,0.3724583735075963,0.7793047941494113,0.35122432481810106
respiratory_acidbase,0.6,0.4,0.7746464959133808,0.3705811130177241,0.7715739526227873,0.35355979675905497
respiratory_acidbase,0.0,1.0,0.7779963052483914,0.37050499975915824,0.7780370295631117,0.34892276607164985
respiratory_acidbase,0.65,0.35,0.7714769786020534,0.36828676331698823,0.7684218246093941,0.3515744450193486
respiratory_acidbase,0.7,0.3,0.7679633422683536,0.3655983967789996,0.7646811249752427,0.3482671359913197
respiratory_acidbase,0.75,0.25,0.7638223884823857,0.36178730690176314,0.7604667653224813,0.34452431345669904
respiratory_acidbase,0.8,0.2,0.7592311162628345,0.35713640470441793,0.7560646232954779,0.34070080311968287
respiratory_acidbase,0.85,0.15,0.754154125805963,0.35277617428569585,0.7508188619453879,0.33605309681615714
respiratory_acidbase,0.9,0.1,0.7487931136679467,0.34718310396252433,0.7451956673654785,0.3298406560310755
respiratory_acidbase,0.95,0.05,0.7429793133425976,0.3406301017575559,0.7391969080370857,0.32498454111663533
respiratory_acidbase,1.0,0.0,0.7368255102511246,0.3335310862119276,0.7326670328890086,0.31769603423180764
