subset,grud_weight,xgb_weight,val_roc,val_pr,test_roc,test_pr
hemodynamics,0.7,0.3,0.7225667986064004,0.33434263155635424,0.7094109799437213,0.3027861527264768
hemodynamics,0.65,0.35,0.722386506582717,0.3335762352367824,0.7107562865054541,0.3019580476978043
hemodynamics,0.6,0.4,0.7221181266753163,0.3332804132009324,0.711784885480779,0.30219843864879403
hemodynamics,0.75,0.25,0.7221238894340641,0.33306941559920356,0.7077592424429271,0.302641042659852
hemodynamics,0.55,0.45,0.721340154244354,0.3324082873359438,0.7124921056663565,0.30105670686932134
hemodynamics,0.5,0.5,0.7203810665384589,0.33167188652354096,0.7129900559423312,0.30040160129827476
hemodynamics,0.8,0.2,0.7212520663606368,0.3315352247739379,0.7057394141189924,0.3008800431200544
hemodynamics,0.45,0.55,0.7190169392177137,0.3301374217195693,0.7129993983490099,0.2989844473345398
hemodynamics,0.85,0.15,0.7202221790472679,0.3300338512340871,0.7037233227577289,0.29864486541627483
hemodynamics,0.9,0.1,0.7189263815802472,0.3283628555270368,0.7014746054701659,0.29576463836228845
hemodynamics,0.4,0.6,0.7174453525820452,0.32794303463806834,0.7128956976348763,0.29782190045995144
hemodynamics,0.95,0.05,0.7177087929819477,0.3263464417032962,0.699182913111881,0.29266412072839626
hemodynamics,0.35,0.65,0.7154333265277897,0.3256416108824519,0.7123145999394612,0.29614483937167035
hemodynamics,1.0,0.0,0.7162425825062402,0.32396729647964423,0.6967674338651031,0.28884717648833635
hemodynamics,0.3,0.7,0.7127017788813004,0.3222952415891762,0.7112252753207249,0.294283244440212
hemodynamics,0.25,0.75,0.709705144332409,0.3191908261982934,0.70979308437688,0.29137893128918346
hemodynamics,0.2,0.8,0.7062656006111817,0.315822586231534,0.7080890293986853,0.28834124513836357
hemodynamics,0.15,0.85,0.7025642629925513,0.31273806429514234,0.7059804482113028,0.28522259987197074
hemodynamics,0.1,0.9,0.6984842297990609,0.3082768738363325,0.7036196220435954,0.281716924101074
hemodynamics,0.05,0.95,0.6940765426081916,0.30326828670096695,0.7008169000399855,0.2778044063975663
hemodynamics,0.0,1.0,0.6895922930511009,0.29898025967373165,0.6978712392141915,0.27393926589106854
