subset,grud_weight,xgb_weight,val_roc,val_pr,test_roc,test_pr
neurologic,0.35,0.65,0.8007262722524813,0.4354403285636666,0.8134190592570172,0.37331230632275764
neurologic,0.3,0.7,0.7998906722340404,0.4353223099465817,0.8130724559692373,0.37194149016558303
neurologic,0.25,0.75,0.7987200089569737,0.4344085638757166,0.812557689361241,0.37090646877567657
neurologic,0.4,0.6,0.8012893761072729,0.4343029262061525,0.8135676035232084,0.37414327712922996
neurologic,0.2,0.8,0.7977139959298458,0.43363505943094244,0.811911194819075,0.36965254634933986
neurologic,0.45,0.55,0.8016359648833946,0.4328753540335007,0.8134442837550495,0.3743656917329326
neurologic,0.15,0.85,0.7966651738377338,0.4323973547856877,0.8111329723427393,0.3671727618195646
neurologic,0.5,0.5,0.8019166935595409,0.43204926714802333,0.8132424877707896,0.3748748143805477
neurologic,0.1,0.9,0.7956682165743528,0.4317480265480309,0.8105855073113674,0.3650525366941044
neurologic,0.55,0.45,0.801894465775799,0.4313908936163126,0.8126856803327391,0.37462179819331043
neurologic,0.05,0.95,0.7944275769410619,0.43061231370181124,0.8100997021640751,0.3632631141897645
neurologic,0.0,1.0,0.7929803012440972,0.4301833310294847,0.8087002096436058,0.3588684208162703
neurologic,0.6,0.4,0.8017051179883692,0.4299753826222993,0.8118925100057175,0.37376126576976143
neurologic,0.65,0.35,0.8014235660609732,0.4290131337601993,0.8108190674783351,0.372921613782801
neurologic,0.7,0.3,0.8005155199325592,0.427552821931436,0.8095382235226851,0.3709367413215715
neurologic,0.75,0.25,0.7991777366518042,0.42515494442479185,0.8080060688273785,0.3693496431482134
neurologic,0.8,0.2,0.7976160290311322,0.4228425040824115,0.8058563810506096,0.36802027552362365
neurologic,0.85,0.15,0.7961852183591616,0.41912243062490784,0.803604861041043,0.3658377853192152
neurologic,0.9,0.1,0.7943386658060947,0.41488578443214924,0.8012206788566388,0.3642306358222638
neurologic,0.95,0.05,0.7922978259580997,0.4114939506598257,0.7982105554247619,0.36221471167340996
neurologic,1.0,0.0,0.7901046846289113,0.4085181379472794,0.794688468106892,0.35875923470216564
