subset,grud_weight,xgb_weight,val_roc,val_pr,test_roc,test_pr
metabolic_general,0.5,0.5,0.7161857781700113,0.32973766484822464,0.7314226243194057,0.27261292739583903
metabolic_general,0.45,0.55,0.7176717466757114,0.32965133237117,0.7320821982309219,0.2733650203682467
metabolic_general,0.6,0.4,0.7128697221362383,0.3295525520386715,0.7296447643284492,0.271263320556293
metabolic_general,0.55,0.45,0.7145713824693586,0.3294474847863235,0.730629453992384,0.2718806498880339
metabolic_general,0.4,0.6,0.718732094285319,0.3288704804318504,0.7321709510943695,0.27315756004710634
metabolic_general,0.35,0.65,0.7196244986399888,0.3284936187812217,0.7321373184303261,0.27249961802795125
metabolic_general,0.65,0.35,0.7110182300756733,0.3283668649986175,0.7283368273934312,0.27017757801126835
metabolic_general,0.3,0.7,0.7203061506747368,0.3275120664328869,0.7314945608508316,0.2729431212831338
metabolic_general,0.7,0.3,0.7089930320014226,0.32705154257226166,0.7270410355870957,0.268705296932453
metabolic_general,0.25,0.75,0.7205136099896601,0.32635327200143627,0.7303762747713914,0.2719545340664249
metabolic_general,0.75,0.25,0.7070402800371451,0.32550606789491265,0.7255425135558321,0.2667911600452652
metabolic_general,0.2,0.8,0.7204181128446953,0.3245089862698584,0.7287376166399475,0.27036458496202986
metabolic_general,0.8,0.2,0.7049928541791526,0.3234369075401201,0.7239515016984497,0.2646650592041649
metabolic_general,0.15,0.85,0.7198961715523885,0.32306680408698424,0.7263272757168429,0.26758184811413566
metabolic_general,0.1,0.9,0.7189230885752484,0.32107742105698933,0.7234638280698215,0.2642939474989872
metabolic_general,0.85,0.15,0.702851577678695,0.32105650424072657,0.7221306666367708,0.2608081807297809
metabolic_general,0.9,0.1,0.7007745147757134,0.31908438449546367,0.7204378225465906,0.2579063827316916
metabolic_general,0.05,0.95,0.717497217410776,0.3180331975427998,0.7202463032096772,0.2600462954788905
metabolic_general,0.95,0.05,0.6988439905951778,0.3169656176652613,0.718681450090995,0.2560629054124393
metabolic_general,0.0,1.0,0.7156020930339773,0.3150567707806075,0.7163808824463652,0.25730865162538513
metabolic_general,1.0,0.0,0.6968788898621548,0.31247020928684316,0.7168578123073128,0.25269047347941587
