window,grud_weight,xgb_weight,val_roc,val_pr,test_roc,test_pr
last24h,0.8,0.2,0.8682411072400008,0.579799481951611,0.8644454160547389,0.5225933574857733
last24h,0.75,0.25,0.8686716676435915,0.5797010600973403,0.8647023322384033,0.5223921510989933
last24h,0.7,0.3,0.8689202895209993,0.5792492598508688,0.8648761010026271,0.5221542258136107
last24h,0.85,0.15,0.8677405704801859,0.5789978179659495,0.8640072571815081,0.521365180349889
last24h,0.65,0.35,0.8689606288322343,0.5778360282963346,0.8649443005713816,0.5220357170909297
last24h,0.9,0.1,0.8670070536167074,0.5772599427401781,0.8633710392866887,0.5197807124533123
last24h,0.6,0.4,0.8689614520834843,0.5768832364317416,0.8648228492845587,0.521162312867084
last24h,0.95,0.05,0.8661599280807709,0.5754048681693149,0.8625788032003348,0.5171949118641886
last24h,0.55,0.45,0.8686049842923661,0.5752663844932047,0.8645173525861651,0.5204197958896674
last24h,0.5,0.5,0.8682361677325027,0.5733670402331034,0.8641277742276632,0.5189841513863257
last24h,1.0,0.0,0.8651201617524057,0.5712358025224054,0.8616156010717609,0.5139729798136046
last24h,0.45,0.55,0.8676738871289608,0.5711199626926546,0.8636288897110207,0.5172946144312788
last24h,0.4,0.6,0.8669667143054722,0.56806768245515,0.8629272749694504,0.516088171309195
last24h,0.35,0.65,0.8660907749757966,0.5650288534839791,0.8620518914636561,0.5141279785699929
last24h,0.3,0.7,0.8650617109136772,0.5626862349099334,0.8610709387623926,0.5109866616820103
last24h,0.25,0.75,0.8637848482253997,0.5592975939819984,0.8599087433715623,0.5079692919123104
last24h,0.2,0.8,0.8624091953871585,0.5553830300844051,0.8585073823697574,0.504509427417615
last24h,0.15,0.85,0.8608573667814827,0.5511411091295424,0.857123771940642,0.5008729566347595
last24h,0.1,0.9,0.8591943992570981,0.5472302456125852,0.855472034439848,0.49705279858511986
last24h,0.05,0.95,0.857240824041571,0.5418551023428203,0.8536455939341623,0.49266180165877754
last24h,0.0,1.0,0.8551868121735808,0.5357556104716906,0.8515678426888195,0.4867054257138128
