window,grud_weight,xgb_weight,val_roc,val_pr,test_roc,test_pr
last12h,0.85,0.15,0.8613455547725521,0.5507234895895602,0.850428069074018,0.49619610763959904
last12h,0.8,0.2,0.8619736954760697,0.5506244342026009,0.8517061103076642,0.49886684914984125
last12h,0.9,0.1,0.8604276296291418,0.5505861814591836,0.8488837692500291,0.4922890304155542
last12h,0.75,0.25,0.8626001896770881,0.5500548480751641,0.852863634495155,0.5009579006004108
last12h,0.7,0.3,0.8630291035781793,0.5498654739119868,0.8538782198604618,0.5019514920048164
last12h,0.65,0.35,0.8632563209230952,0.5491832929873757,0.8548722519310755,0.5026209197171599
last12h,0.95,0.05,0.8594142073407667,0.5488675125348977,0.8472367029525742,0.4887740602397391
last12h,0.6,0.4,0.8634094456555386,0.5482670641397988,0.8556756989054435,0.5030080791242685
last12h,0.55,0.45,0.8634794220117626,0.5473961432568948,0.8563306016136204,0.5029624899793026
last12h,1.0,0.0,0.8582093791368375,0.5471984773590451,0.8454027885215453,0.4829799130459885
last12h,0.5,0.5,0.863229976883105,0.5455067702914151,0.8567995904288912,0.5030732166198778
last12h,0.45,0.55,0.8629467784532097,0.5434585925423413,0.8571667470113642,0.5021133349427948
last12h,0.4,0.6,0.8623276935134387,0.5408975761858764,0.8574012414189994,0.5010967796067841
last12h,0.35,0.65,0.8615859441374631,0.5380237409177532,0.8574068468630067,0.5000874527691508
last12h,0.3,0.7,0.8608334924952417,0.5356473743015584,0.8572526971528083,0.4989918760319479
last12h,0.25,0.75,0.8598875768093416,0.5326392327161894,0.856887409051671,0.49664834783572215
last12h,0.2,0.8,0.8587399645672662,0.5296654289358698,0.856412814792393,0.4954077996225804
last12h,0.15,0.85,0.8573824232565185,0.5262589605678888,0.8557579120842163,0.49381182259780043
last12h,0.1,0.9,0.8558223621383458,0.5224953009782999,0.8549002791511117,0.49184776828125654
last12h,0.05,0.95,0.8540680137252449,0.5185893926203714,0.8540174217199744,0.4890034199022014
last12h,0.0,1.0,0.8521802986096934,0.5151210374454983,0.8527505913743427,0.4867361953494095
